,Spotify ID,artists_id,track_name,album_name,artists,date,duration_ms,song_popularity,added_by,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
22,68OXeY9CUQebrOAAh3b3Jw,7iK8PXO48WeuP03g8YR51W,LA CAPI,LVEU: VIVE LA TUYA...NO LA MIA,Myke Towers,2023-09-18,202360,75,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.77,0.907,0,-4.679,0,0.215,0.427,4.34e-06,0.132,0.696,149.997,4
23,79HTe42PihWUUq4BDjcuCq,"1ackd5XprZEkH3McKbQD51,3Ces1OJeGOVGcUB0wPaPXJ",Usted,Usted,"Juan Magán,Mala Rodríguez",2018-03-30,233748,53,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop,latin hip hop,rap latina",0.712,0.833,0,-4.101,1,0.0618,0.0155,0.0,0.273,0.326,104.879,4
24,5iilNoD56jD3FJ3bM9tMP0,"3lY9Fxceu60W1rbon7PkuF,2O8vbr4RYPpk6MRA4fio7u,1zdSbv2pR3OIFKselYbJsC",Arena y Sal,Arena y Sal,"Omar Montes,SAIKO,Tunvao",2023-05-18,174415,70,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"flamenco urbano,urbano espanol,trap latino,urbano latino",0.722,0.782,5,-5.963,0,0.0524,0.598,0.00165,0.124,0.762,117.996,4
25,3OB01aM0Nf7tWds1TLEL3j,"2oQX8QiMXOyuqbcZEFsZfm,0eHQ9o50hj6ZDNBt6Ys1sD,7iK8PXO48WeuP03g8YR51W",Dembow y Reggaeton,DEMBO$$,"El Alfa,Yandel,Myke Towers",2019-08-02,248589,68,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"dembow,rap dominicano,trap latino,urbano latino,latin hip hop,reggaeton",0.881,0.924,5,-1.065,1,0.0701,0.309,0.0168,0.303,0.71,117.025,4
26,4kPxV7IwufozfVVVTlQP9X,"2vpwloS2Oqgn4tSxcfVuCq,7zY0DMisq1oYXvNNgGwHBY,6alFyA4PruPsPkMVpXgKdO,5xU3I81ZhHT3ZaFm49quy4,2iiGFG3oRgle26obkpuUsy",Recuerdos,Recuerdos,"Marc Magán,Juanfran,Victor Magan,ALDA,Soqe",2024-03-22,190080,38,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"pop reggaeton,urbano espanol,electro latino",0.674,0.801,0,-6.789,1,0.0315,0.0156,1.51e-06,0.277,0.537,124.991,4
27,1MB8kTH7VKvAMfL9SHgJmG,"07YUOmWljBTXwIseAUd9TW,0tmwSHipWxN12fsoLcFU3B,7a0XAaPaK2aDSqa8p3QnC7",VAGABUNDO,VAGABUNDO,"Sebastian Yatra,Manuel Turizo,Beéle",2023-05-12,215600,81,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino,trap latino",0.817,0.851,11,-3.309,0,0.0627,0.0351,0.0,0.232,0.886,127.019,4
28,21N77gfWYoQDvrLvaeiQgi,"1mcTU81TzQhprhouKaTkpq,716NhGYqD1jl2wI1Qkgq36",BABY HELLO,PLAYA SATURNO,"Rauw Alejandro,Bizarrap",2023-07-07,222461,72,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"puerto rican pop,reggaeton,trap latino,urbano latino,argentine hip hop,pop venezolano,trap argentino",0.773,0.893,1,-3.733,0,0.0483,0.164,3.01e-06,0.429,0.842,130.013,4
29,3cDyocF0Ibdfs1SFQk5cLZ,1TtXnWcUs0FCkaZDPGYHdf,Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,199946,80,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.822,0.711,6,-4.943,1,0.0668,0.179,1.46e-05,0.083,0.934,102.984,4
30,0dgwWXkfcWyB2a2qTgEc0F,1ackd5XprZEkH3McKbQD51,Verano Azul,Verano Azul,Juan Magán,2009-01-01,190560,64,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop",0.887,0.87,2,-5.267,1,0.119,0.0145,0.0,0.015,0.838,126.048,4
31,63ui2w3QJBp8xx0c1MJB2Z,4q3ewBCX7sLwd24euuV69X,UN PREVIEW,UN PREVIEW,Bad Bunny,2023-09-25,165582,73,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.786,0.814,1,-3.318,1,0.0873,0.0383,3.67e-05,0.22,0.365,95.084,4
32,0QRHOAeU8JRaVVn3UoZBih,"0Q8NcsJwoCbZOHHW63su5S,2O8vbr4RYPpk6MRA4fio7u",REINA,ESTRELLA,"Mora,SAIKO",2023-08-28,211879,77,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"trap latino,urbano latino,urbano espanol",0.724,0.578,10,-7.117,1,0.0819,0.632,1.06e-06,0.0943,0.757,167.985,4
33,7hEUCqOfvkXLTk5tdET15f,"1UjxAZqzphB1tsMb1aWBj0,4VMYDCV2IEDYJArk749S6m,2aiM1OfMODFLUXaQgEVPK1",Estrellita De Madrugada - Original 2022 Remaster (Ft. Daddy Yankee),Estrellita De Madrugada (Ft. Daddy Yankee),"Omega,Daddy Yankee,Roberto Ferrante",2022-08-26,213472,61,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"rap dominicano,latin hip hop,reggaeton,trap latino,urbano latino,cubaton",0.737,0.814,0,-4.894,0,0.0753,0.142,1.31e-05,0.0497,0.865,156.059,4
34,0lyjbr869awswsiRFGjiBB,"6alFyA4PruPsPkMVpXgKdO,4agBzHY8Dx7XsUeZxtSpzP",Azukar,Azukar,"Victor Magan,BESKO DEEJAYS",2024-02-01,162000,35,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,electro latino,0.679,0.868,11,-4.917,1,0.041,0.00341,0.814,0.104,0.636,123.041,4
35,4vAMy0dxoyoIHGuIgKqcwm,"1vyhD5VmyZ7KMfW5gqLgo5,23zg3TcAtWQy7J6upgbUnj,0QHgL1lAIqAw0HtD7YldmP",Dientes,Dientes,"J Balvin,USHER,DJ Khaled",2023-09-15,166426,66,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,hip hop,miami hip hop,pop rap",0.864,0.783,7,-3.814,1,0.114,0.00662,3.99e-06,0.291,0.545,114.973,4
36,6XbtvPmIpyCbjuT0e8cQtp,52iwsT98xCoGgiGntTiR7K,Columbia,Columbia,Quevedo,2023-07-07,186000,85,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"rap canario,trap latino,urbano latino",0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,4
37,5TDqGJl6fTFI2HEC168qza,"1ackd5XprZEkH3McKbQD51,5dYhBVE6SzquA1r4AcztUX,2vpwloS2Oqgn4tSxcfVuCq",El Barrio,El Barrio,"Juan Magán,Adri Contreras,Marc Magán",2023-04-16,185156,46,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop",0.597,0.533,5,-8.89,0,0.0386,0.405,0.0,0.0996,0.267,128.096,4
38,1IHWl5LamUGEuP4ozKQSXZ,4q3ewBCX7sLwd24euuV69X,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,83,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
39,3XB5uhhlYSnkxpSihkNQwh,"790FomKkXshlbRYZFtlgla,12GqGscKJx3aE4t07u7eVZ",QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),"KAROL G,Peso Pluma",2023-08-11,172797,78,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,corridos tumbados,sad sierreno",0.843,0.741,7,-7.486,0,0.293,0.541,1.88e-06,0.0879,0.45,169.933,4
40,0EhuGnOS6fTc5l5UNtDEH2,"2O8vbr4RYPpk6MRA4fio7u,52iwsT98xCoGgiGntTiR7K,2LRoIwlKmHjgvigdNGBHNo,0Q8NcsJwoCbZOHHW63su5S",POLARIS - Remix,POLARIS (Remix),"SAIKO,Quevedo,Feid,Mora",2023-06-08,288000,77,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"trap latino,urbano espanol,urbano latino,rap canario,colombian pop,pop reggaeton,reggaeton,reggaeton colombiano",0.623,0.799,8,-4.152,0,0.0713,0.153,0.0,0.365,0.552,169.901,4
41,13Cpy3Cl5f1K0VlNw0xPaT,"7K5OqI5GnphpZMfIRs2UsI,1ackd5XprZEkH3McKbQD51,5DUlefCLzVRzNWaNURTFpK",Puerta del Sol,Puerta del Sol,"Mar Lucas,Juan Magán,Cali Y El Dandee",2023-07-05,193150,56,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop,colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.738,0.82,0,-4.603,1,0.0464,0.0115,0.0,0.122,0.82,127.985,4
42,1FhRIZtz1d4qLVe4928exT,7eLcDZDYHXZCebtQmVFL25,LAS BABYS,LAS BABYS,Aitana,2023-06-06,153827,61,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin talent show,latin viral pop,spanish pop",0.695,0.815,7,-6.303,1,0.036,0.0435,3.87e-05,0.089,0.718,127.991,4
43,1c89Peahzqvhcs9UtiT879,1Vr7DTbtTpOp4tn4hAGOYo,El Motorcito,El Motorcito,Lirico En La Casa,2018-03-02,169293,58,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"dembow,rap dominicano",0.904,0.723,10,-7.841,1,0.115,0.0575,0.145,0.308,0.826,118.014,4
44,6XSqqQIy7Lm7SnwxS4NrGx,"2LRoIwlKmHjgvigdNGBHNo,3qsKSpcV3ncke3hw52JSMB",CLASSY 101,CLASSY 101,"Feid,Young Miko",2023-03-31,195986,79,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,4
45,7G9UZOYgbBS7TJtwSTnVjx,4zDfQXtYmlERb0c8RZnerJ,MAMBO 98,MAMBO 98,Envi,2024-01-25,155357,30,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,,0.767,0.538,4,-8.646,0,0.0448,0.0624,0.0,0.081,0.854,112.039,4
46,2UW7JaomAMuX9pZrjVpHAU,"1NNRWkhwmcXRimFYSBpB1y,12GqGscKJx3aE4t07u7eVZ",La Bebe - Remix,La Bebe (Remix),"Yng Lvcas,Peso Pluma",2023-03-17,234352,86,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,urbano mexicano,corridos tumbados,sad sierreno",0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,4
47,4CYpaMXu4iyGdk8b0jCeYi,"33ScadVnbm2X8kkUqOkC6Z,1ackd5XprZEkH3McKbQD51",No Sigue Modas Aka Ella No Sigue Modas,Don Omar Presents MTO2: New Generation,"Don Omar,Juan Magán",2012-01-01,232000,63,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino,electro latino,spanish pop",0.685,0.862,0,-4.611,1,0.0627,0.00757,0.0014,0.0226,0.884,128.032,4
48,3kmWIej9tXjSWWYc9tPjJk,1r4hJ1h58CWwUQe3MxPuau,COCO LOCO,COCO LOCO,Maluma,2023-06-08,166734,70,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.783,0.868,7,-2.961,0,0.0591,0.19,0.0,0.165,0.727,109.977,4
49,0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp",TQG,MAÑANA SERÁ BONITO,"KAROL G,Shakira",2023-02-24,197933,85,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,colombian pop,dance pop,latin pop,pop",0.587,0.647,4,-3.385,0,0.327,0.619,0.0,0.106,0.686,90.123,4
50,3pDhN3qB33AOPhQEkUCaWt,4VMYDCV2IEDYJArk749S6m,Limbo,Prestige,Daddy Yankee,2012-01-01,224693,76,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.807,0.874,7,-3.817,1,0.0888,0.0833,0.00184,0.065,0.919,125.05,4
51,4SIj5BkpEBmQxvO27hwid6,"1ackd5XprZEkH3McKbQD51,0BqURncJM5B1BBu7UM51eq,4nZdiKx5LPQK3WtkM20BQ5",12:34,12:34,"Juan Magán,Guaynaa,Fresh Kid Cue",2023-07-27,174000,34,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop,reggaeton,reggaeton flow,urbano latino",0.851,0.663,10,-8.861,0,0.0802,0.235,4.03e-05,0.0718,0.785,122.945,4
52,26V1bLUk0SBYkLEwl4caPR,"5DeX42pr2TilrnsUgjG8D1,2bxxlINUlcMQQb39K7IopR",Clavaito,Clavaito,"Chanel,Abraham Mateo",2023-04-27,162740,67,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin arena pop,latin pop,latin viral pop,reggaeton,spanish pop",0.863,0.664,3,-3.902,0,0.0666,0.0427,0.0,0.0501,0.701,133.028,4
53,51FvjPEGKq2zByeeEQ43V9,"64KEffDW9EtZ1y2vBYgq8T,0tmwSHipWxN12fsoLcFU3B",El Merengue,El Merengue,"Marshmello,Manuel Turizo",2023-03-03,189668,78,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"brostep,edm,pop,progressive electro house,colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982,4
54,20CozgjF6bshBw8cLhN23B,2z1MpPojFcvxYcEAx0lT6w,Nochentera,Nochentera,Vicco,2022-12-19,202184,69,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,,0.802,0.728,8,-6.456,0,0.0533,0.0233,0.0,0.119,0.782,121.92,4
55,6YYmoV9YbBefsspGmqFHbs,7wU2WGCJ8HxkekHHE2QLul,Una Vaina Loca,Una Vaina Loca,Fuego,2011-08-10,188894,71,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,rap dominicano,trap latino",0.792,0.676,1,-12.813,1,0.0546,0.172,1.93e-05,0.0654,0.712,117.011,4
56,0Og4N9IfrVOmXu0lzVHStq,4zDfQXtYmlERb0c8RZnerJ,Mulata,Mulata,Envi,2023-11-09,144678,35,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,,0.814,0.788,0,-6.364,0,0.0655,0.357,1.8e-06,0.0543,0.527,107.068,4
57,2iIBpwP4FyQ95xgVail3yr,"0AqlFI0tz2DsEoJlKSIiT9,3CDoRporvSjdzTrm99a3gi,2Yia9CwtgcrsN5kVOQ0qRA",No_se_ve.mp3,No_se_ve.mp3,"Emilia,LUDMILLA,ZECCA",2023-05-03,203636,71,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"pop argentino,funk carioca,funk pop,funk rj,pagode baiano,pop nacional",0.765,0.66,11,-5.059,0,0.0822,0.0858,3.35e-05,0.151,0.577,132.048,4
58,2mzDRrBn6M6rWX4bGzd1uQ,4VVEpEhC8NcR7AqNEds42U,Feliz,Feliz,Chimbala,2022-05-27,177240,61,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"dembow,rap dominicano",0.848,0.852,8,-2.158,0,0.103,0.373,0.0323,0.0865,0.956,129.995,4
59,609E1JCInJncactoMmkDon,"7ltDVBr6mKbRvohxheJ9h1,1mcTU81TzQhprhouKaTkpq",BESO,RR,"ROSALÍA,Rauw Alejandro",2023-03-24,194543,81,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"pop,r&b en espanol,puerto rican pop,reggaeton,trap latino,urbano latino",0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,4
60,4f1DXZSLEqHGpdyOwx71Gx,3naE4Ajwsda9UkboyMC1Gb,Agua Bendita,Agua Bendita,Aroxa,2023-09-07,147610,30,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,,0.748,0.768,7,-7.058,1,0.0562,0.0173,2.43e-05,0.0693,0.741,130.01,4
61,7uUYUy2qLfev9ppNvFBHpX,4VMYDCV2IEDYJArk749S6m,Pasarela,Prestige,Daddy Yankee,2012-01-01,193626,70,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.842,0.893,9,-4.277,1,0.0462,0.105,0.0,0.289,0.713,121.035,4
62,1DxEbt6OSbrkRthk6pjZue,"0niAkxgT6y57bRbT0Ge94z,48R2gYdPKtfnfKAzhSVPUx,0uxYECT7XqHNccQAg5Uhe4",MERCHO,MERCHO,"LiL CaKe,Migrantes,Nico Valdi",2022-12-16,161451,73,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"trap argentino,trap triste,cumbia pop",0.838,0.79,6,-1.602,0,0.108,0.431,3.33e-06,0.184,0.962,92.927,4
63,6IdcyYfBz9LG3SWIKVyNgh,"4obzFoKoKRHIphyHzJ35G3,1UjxAZqzphB1tsMb1aWBj0",Arranca (feat. Omega),Arranca (feat. Omega),"Becky G,Omega",2023-03-10,166529,72,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino,rap dominicano",0.931,0.793,0,-4.666,0,0.133,0.0378,4.63e-06,0.0748,0.856,117.999,4
